numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;1;9321;38;50;9320
2;2;9479;37;50;9326
3;3;9645;36;50;9428
4;4;9944;35;50;9524
5;5;10158;34;50;9592
6;6;10313;33;50;9655
7;7;10384;32;50;9707
8;8;10484;31;50;9747
9;9;10481;30;50;9783
10;10;11102;29;50;10448
11;11;10791;28;50;11034
12;12;11364;27;50;11549
13;13;11854;26;50;11990
14;14;12301;25;50;12376
15;15;12724;24;50;12714
16;16;13102;23;50;13017
17;17;13772;22;50;13670
18;18;13470;21;50;14280
19;19;14089;20;50;14832
20;20;14649;19;50;15333
21;21;15179;18;50;15790
22;22;15674;17;50;16210
23;23;16128;16;50;16599
24;24;16765;15;50;17200
25;25;17382;14;50;17754
26;26;17526;13;50;18266
27;27;18069;12;50;18744
28;28;18586;11;50;19194
29;29;19044;10;50;19615
30;30;19313;9;50;20193
31;31;19904;8;50;20739
32;32;20478;7;50;21251
33;33;21018;6;50;21737
34;34;21525;5;50;22199
35;35;22008;4;50;22641
36;36;22250;3;50;23137
37;37;22762;2;50;23610
38;38;23270;1;50;24059
39;39;23546;0;50;24564
40;39;24077;0;49;24564
41;39;24582;0;48;24564
42;39;25143;0;47;24564
43;39;25429;0;46;24564
44;39;25954;0;45;24564
45;39;26485;0;44;24564
46;39;26776;0;43;24564
47;39;27330;0;42;24564
48;39;27649;0;41;24564
49;39;28206;0;40;24564
50;39;28545;0;39;24564
51;39;29101;0;38;24564
52;39;28788;0;37;24564
53;39;29357;0;36;24564
54;39;29145;0;35;24564
55;39;29739;0;34;24564
56;39;29569;0;33;24564
57;39;30170;0;32;24564
58;39;30036;0;31;24564
59;39;30637;0;30;24564
60;39;30582;0;29;24564
61;39;31199;0;28;24564
62;39;31175;0;27;24564
63;39;31797;0;26;24564
64;39;31800;0;25;24564
65;39;31837;0;24;24564
66;39;32448;0;23;24564
67;39;33076;0;22;24564
68;39;33128;0;21;24564
69;39;33211;0;20;24564
70;39;33828;0;19;24564
71;39;33998;0;18;24564
72;39;34181;0;17;24564
73;39;34380;0;16;24564
74;39;34596;0;15;24564
75;39;34824;0;14;24564
76;39;35061;0;13;24564
77;39;35386;0;12;24564
78;39;35720;0;11;24564
79;39;36064;0;10;24564
80;39;36415;0;9;24564
81;39;36774;0;8;24564
82;39;37141;0;7;24564
83;39;37520;0;6;24564
84;39;37985;0;5;24564
85;39;38457;0;4;24564
86;39;38933;0;3;24564
87;39;39419;0;2;24564
88;39;39908;0;1;24564
89;39;40404;0;0;24564
