numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;0;10516;0;67;0
2;0;11069;0;66;0
3;0;12337;0;65;0
4;0;13697;0;64;0
5;0;15105;0;63;0
6;0;16498;0;62;0
7;0;17851;0;61;0
8;0;19193;0;60;0
9;0;20518;0;59;0
10;0;21794;0;58;0
11;0;23131;0;57;0
12;0;24380;0;56;0
13;0;25727;0;55;0
14;0;27018;0;54;0
15;0;28290;0;53;0
16;0;29650;0;52;0
17;0;31008;0;51;0
18;0;32319;0;50;0
19;0;33647;0;49;0
20;0;34963;0;48;0
21;0;36267;0;47;0
22;0;37590;0;46;0
23;0;38902;0;45;0
24;0;40151;0;44;0
25;0;41400;0;43;0
26;0;42696;0;42;0
27;0;43958;0;41;0
28;0;45266;0;40;0
29;0;46581;0;39;0
