numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;1;12220;22;50;11143
2;2;13907;21;50;13073
3;3;15693;20;50;14926
4;4;17284;19;50;16703
5;5;19053;18;50;18518
6;6;20810;17;50;20226
7;7;22558;16;50;21932
8;8;24281;15;50;23626
9;9;25967;14;50;25289
10;10;27592;13;50;26902
11;11;29273;12;50;28529
12;12;30946;11;50;30160
13;13;32591;10;50;31766
14;14;34290;9;50;33438
15;15;35985;8;50;35105
16;16;37658;7;50;36740
17;17;39310;6;50;38368
18;18;40963;5;50;39989
19;19;42611;4;50;41608
20;20;44234;3;50;43218
21;21;45858;2;50;44817
22;22;47494;1;50;46407
23;23;49091;0;50;47985
24;23;50664;0;49;47985
25;23;52239;0;48;47985
26;23;53834;0;47;47985
27;23;55388;0;46;47985
28;23;56939;0;45;47985
29;23;58472;0;44;47985
30;23;60002;0;43;47985
31;23;61531;0;42;47985
32;23;63066;0;41;47985
33;23;64586;0;40;47985
34;23;66102;0;39;47985
35;23;67622;0;38;47985
36;23;69160;0;37;47985
37;23;70686;0;36;47985
38;23;72214;0;35;47985
39;23;73735;0;34;47985
40;23;75256;0;33;47985
41;23;76784;0;32;47985
42;23;78302;0;31;47985
43;23;79819;0;30;47985
44;23;81325;0;29;47985
45;23;82816;0;28;47985
46;23;84298;0;27;47985
47;23;85771;0;26;47985
48;23;87248;0;25;47985
49;23;88728;0;24;47985
50;23;90206;0;23;47985
51;23;90026;0;22;47985
52;23;89963;0;21;47985
53;23;90015;0;20;47985
54;23;90169;0;19;47985
55;23;90427;0;18;47985
56;23;90782;0;17;47985
57;23;91230;0;16;47985
58;23;91765;0;15;47985
59;23;92378;0;14;47985
60;23;93072;0;13;47985
61;23;93853;0;12;47985
62;23;94703;0;11;47985
63;23;95621;0;10;47985
64;23;96613;0;9;47985
65;23;97658;0;8;47985
66;23;98759;0;7;47985
67;23;99920;0;6;47985
68;23;101137;0;5;47985
69;23;102400;0;4;47985
70;23;103720;0;3;47985
71;23;105086;0;2;47985
72;23;106514;0;1;47985
73;23;107997;0;0;47985
