numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;0;9073;0;168;0
2;0;7969;0;167;0
3;0;7995;0;166;0
4;0;8300;0;165;0
5;0;9254;0;164;0
6;0;9635;0;163;0
7;0;10079;0;162;0
8;0;10546;0;161;0
9;0;11029;0;160;0
10;0;11523;0;159;0
11;0;12030;0;158;0
12;0;12777;0;157;0
13;0;13321;0;156;0
14;0;13887;0;155;0
15;0;14447;0;154;0
16;0;14964;0;153;0
17;0;15510;0;152;0
18;0;16077;0;151;0
19;0;16741;0;150;0
20;0;17366;0;149;0
21;0;17893;0;148;0
22;0;18445;0;147;0
23;0;19101;0;146;0
24;0;19647;0;145;0
25;0;20221;0;144;0
26;0;20884;0;143;0
27;0;21437;0;142;0
28;0;22007;0;141;0
29;0;22577;0;140;0
30;0;23146;0;139;0
31;0;23702;0;138;0
32;0;24260;0;137;0
33;0;24833;0;136;0
34;0;25399;0;135;0
35;0;25980;0;134;0
36;0;26550;0;133;0
37;0;27132;0;132;0
38;0;27721;0;131;0
39;0;28300;0;130;0
40;0;28886;0;129;0
41;0;29465;0;128;0
42;0;30045;0;127;0
43;0;30679;0;126;0
44;0;31255;0;125;0
45;0;31888;0;124;0
46;0;32521;0;123;0
47;0;33108;0;122;0
48;0;33737;0;121;0
49;0;34331;0;120;0
50;0;34970;0;119;0
51;0;35566;0;118;0
52;0;36156;0;117;0
53;0;36778;0;116;0
54;0;37414;0;115;0
55;0;38047;0;114;0
56;0;38662;0;113;0
57;0;39240;0;112;0
58;0;39866;0;111;0
59;0;40475;0;110;0
60;0;41091;0;109;0
61;0;41710;0;108;0
62;0;42295;0;107;0
63;0;42908;0;106;0
64;0;43491;0;105;0
65;0;44100;0;104;0
66;0;44712;0;103;0
67;0;45310;0;102;0
68;0;45914;0;101;0
69;0;46517;0;100;0
70;0;47119;0;99;0
71;0;47724;0;98;0
72;0;48325;0;97;0
73;0;48924;0;96;0
74;0;49523;0;95;0
75;0;50119;0;94;0
76;0;50709;0;93;0
77;0;51309;0;92;0
78;0;51891;0;91;0
79;0;52496;0;90;0
80;0;53095;0;89;0
81;0;53672;0;88;0
82;0;54247;0;87;0
83;0;54847;0;86;0
84;0;55442;0;85;0
85;0;56029;0;84;0
86;0;56624;0;83;0
87;0;57231;0;82;0
88;0;57833;0;81;0
89;0;58435;0;80;0
90;0;59023;0;79;0
91;0;59629;0;78;0
92;0;60226;0;77;0
93;0;60828;0;76;0
94;0;61434;0;75;0
95;0;62032;0;74;0
96;0;62634;0;73;0
97;0;63211;0;72;0
98;0;63813;0;71;0
99;0;64416;0;70;0
100;0;65014;0;69;0
101;0;65617;0;68;0
102;0;66221;0;67;0
103;0;66807;0;66;0
104;0;67408;0;65;0
105;0;67996;0;64;0
106;0;68597;0;63;0
107;0;69202;0;62;0
108;0;69810;0;61;0
109;0;70412;0;60;0
110;0;71006;0;59;0
111;0;71613;0;58;0
112;0;72204;0;57;0
113;0;72819;0;56;0
114;0;73436;0;55;0
115;0;74051;0;54;0
116;0;74668;0;53;0
117;0;75283;0;52;0
118;0;75899;0;51;0
119;0;76515;0;50;0
120;0;77130;0;49;0
121;0;77745;0;48;0
122;0;78360;0;47;0
123;0;78974;0;46;0
124;0;79589;0;45;0
125;0;80204;0;44;0
126;0;80818;0;43;0
127;0;81433;0;42;0
128;0;82047;0;41;0
129;0;82661;0;40;0
130;0;83276;0;39;0
131;0;83893;0;38;0
132;0;84508;0;37;0
133;0;85125;0;36;0
134;0;85740;0;35;0
135;0;86360;0;34;0
136;0;86980;0;33;0
137;0;87602;0;32;0
138;0;88223;0;31;0
139;0;88844;0;30;0
140;0;89466;0;29;0
141;0;90090;0;28;0
142;0;90713;0;27;0
143;0;91334;0;26;0
144;0;91958;0;25;0
145;0;92583;0;24;0
146;0;93210;0;23;0
147;0;93836;0;22;0
148;0;94463;0;21;0
149;0;95091;0;20;0
150;0;95718;0;19;0
151;0;96347;0;18;0
152;0;96966;0;17;0
153;0;97588;0;16;0
154;0;98212;0;15;0
155;0;98842;0;14;0
156;0;99469;0;13;0
157;0;100087;0;12;0
158;0;100711;0;11;0
159;0;101335;0;10;0
160;0;101969;0;9;0
161;0;102603;0;8;0
162;0;103239;0;7;0
163;0;103875;0;6;0
164;0;104512;0;5;0
165;0;105150;0;4;0
166;0;105788;0;3;0
167;0;106426;0;2;0
168;0;107051;0;1;0
169;0;107682;0;0;0
