numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;0;12150;0;99;0
2;0;12295;0;98;0
3;0;12192;0;97;0
4;0;12602;0;96;0
5;0;12838;0;95;0
6;0;13005;0;94;0
7;0;13115;0;93;0
8;0;13223;0;92;0
9;0;13158;0;91;0
10;0;13177;0;90;0
11;0;13096;0;89;0
12;0;13193;0;88;0
13;0;13625;0;87;0
14;0;14026;0;86;0
15;0;14329;0;85;0
16;0;14594;0;84;0
17;0;14857;0;83;0
18;0;15176;0;82;0
19;0;15658;0;81;0
20;0;16100;0;80;0
21;0;16494;0;79;0
22;0;16841;0;78;0
23;0;17237;0;77;0
24;0;17770;0;76;0
25;0;18234;0;75;0
26;0;18685;0;74;0
27;0;19074;0;73;0
28;0;19518;0;72;0
29;0;20028;0;71;0
30;0;20528;0;70;0
31;0;20976;0;69;0
32;0;21394;0;68;0
33;0;21849;0;67;0
34;0;22364;0;66;0
35;0;22828;0;65;0
36;0;23298;0;64;0
37;0;23736;0;63;0
38;0;24207;0;62;0
39;0;24656;0;61;0
40;0;25078;0;60;0
41;0;25570;0;59;0
42;0;26047;0;58;0
43;0;26514;0;57;0
44;0;27018;0;56;0
45;0;27504;0;55;0
46;0;27972;0;54;0
47;0;28481;0;53;0
48;0;28958;0;52;0
49;0;29432;0;51;0
50;0;29937;0;50;0
51;0;30427;0;49;0
52;0;30897;0;48;0
53;0;31402;0;47;0
54;0;31907;0;46;0
55;0;32392;0;45;0
56;0;32883;0;44;0
57;0;33377;0;43;0
58;0;33873;0;42;0
59;0;34367;0;41;0
60;0;34862;0;40;0
61;0;35350;0;39;0
62;0;35864;0;38;0
63;0;36365;0;37;0
64;0;36881;0;36;0
65;0;37370;0;35;0
66;0;37889;0;34;0
67;0;38385;0;33;0
68;0;38903;0;32;0
69;0;39423;0;31;0
70;0;39957;0;30;0
71;0;40475;0;29;0
72;0;41015;0;28;0
73;0;41539;0;27;0
74;0;42091;0;26;0
75;0;42618;0;25;0
76;0;43169;0;24;0
77;0;43689;0;23;0
78;0;44214;0;22;0
79;0;44747;0;21;0
80;0;45277;0;20;0
81;0;45828;0;19;0
82;0;46369;0;18;0
83;0;46906;0;17;0
84;0;47455;0;16;0
85;0;48017;0;15;0
86;0;48574;0;14;0
87;0;49135;0;13;0
88;0;49708;0;12;0
89;0;50282;0;11;0
90;0;50858;0;10;0
91;0;51442;0;9;0
92;0;52029;0;8;0
93;0;52618;0;7;0
94;0;53216;0;6;0
95;0;53808;0;5;0
96;0;54405;0;4;0
97;0;55009;0;3;0
98;0;55613;0;2;0
99;0;56224;0;1;0
100;0;56836;0;0;0
